,20-21,21-22,22-23,23-24,24-25,,
ATL,0,0,3,2,1,,
BOS,5,2,7,9,6,,All NBA 1st + 4 pts
BRK,0,3,2,0,0,,All NBA 2nd + 3 pts
CHI,0,1,3,2,0,,All NBA 3rd + 2 pts
CHO,0,0,1,0,0,,All Star only + 1 pt
CLE,0,0,2,2,1,,All Def 1st + 2 pts
DAL,4,4,4,5,5,,All Def 2nd + 1 pt
DEN,3,4,4,3,4,,
DET,0,0,0,0,0,,
GSW,0,6,5,4,2,,
HOU,6,0,0,1,0,,
IND,0,0,0,1,2,,
LAC,5,7,0,1,3,,
LAL,10,3,2,2,6,,
MEM,0,0,5,5,0,,
MIA,4,4,2,5,3,,
MIL,9,8,8,8,5,,
MIN,0,0,5,1,6,,
NOP,1,1,0,0,2,,
NYK,0,3,0,3,4,,
OKC,3,0,0,4,5,,
ORL,0,1,0,0,2,,
PHI,5,7,3,4,0,,
PHO,0,3,9,0,5,,
POR,3,3,1,0,2,,
SAC,0,0,0,4,0,,
SAS,0,0,0,0,2,,
TOR,4,0,3,0,1,,
UTA,5,6,0,1,0,,
WAS,0,2,0,0,0,,
